index,County,Precinct,Registered Voters,Meg Daly Heap (I) (Rep)_Election Day Votes,Meg Daly Heap (I) (Rep)_Advanced Voting Votes,Meg Daly Heap (I) (Rep)_Absentee by Mail Votes,Meg Daly Heap (I) (Rep)_Provisional Votes,Meg Daly Heap (I) (Rep)_Choice Total,Shalena Cook Jones (Dem)_Election Day Votes,Shalena Cook Jones (Dem)_Advanced Voting Votes,Shalena Cook Jones (Dem)_Absentee by Mail Votes,Shalena Cook Jones (Dem)_Provisional Votes,Shalena Cook Jones (Dem)_Choice Total,Total,
0,Chatham,1-01C First Presbyterian Church3187,384,520,489,0,1393,149,544,433,0,1126,2519,,
1,Chatham,1-05C JEA Building,2106,243,309,251,1,804,128,338,269,1,736,1540,
2,Chatham,1-06C Central Church of Christ2035,363,354,341,1,1059,89,196,197,1,483,1542,,
3,Chatham,1-08C Grace United Methodist Church1667,310,250,207,0,767,102,194,132,1,429,1196,,
4,Chatham,1-09C Immanuel Baptist Church 739,91,61,43,2,197,62,90,90,1,243,440,,
5,Chatham,1-10C St Thomas Episcopal Church1101,357,212,205,2,776,34,61,61,0,156,932,,
6,Chatham,1-12C Isle of Hope Baptist,1909,546,443,358,1,1348,57,110,103,0,270,1618,
7,Chatham,1-13C The Sanctuary,1396,257,253,137,1,648,80,125,147,0,352,1000,
8,Chatham,1-14C Compassion Christian Church1718,244,373,273,1,891,73,150,152,0,375,1266,,
9,Chatham,1-16C Ferguson Ave Baptist,2905,610,674,351,4,1639,123,179,148,1,451,2090,
10,Chatham,1-17C Islands Christian Church3136,498,893,554,0,1945,75,180,317,1,573,2518,,
11,Chatham,2-02C Blackshear Community Center1714,58,98,75,1,232,201,232,189,8,630,862,,
12,Chatham,2-03C W W Law Center,1609,65,73,57,1,196,186,224,209,1,620,816,
13,Chatham,2-04C Fellowship of Love Church3178,67,57,52,0,176,417,581,574,1,1573,1749,,
14,Chatham,2-05C Holy Spirit Lutheran Church2079,59,99,66,1,225,274,440,315,3,1032,1257,,
15,Chatham,2-06C Eli Whitney Complex,759,27,38,12,0,77,120,105,87,3,315,392,
16,Chatham,2-07C Christ Community Church 2808,112,128,97,0,337,327,522,378,2,1229,1566,,
17,Chatham,2-09C Salvation Army,3342,117,130,107,0,354,368,682,567,4,1621,1975,
18,Chatham,2-11C Stillwell Towers,1900,55,72,54,0,181,302,248,244,3,797,978,
19,Chatham,2-12C Williams Court Apts,1683,67,80,40,0,187,167,312,265,4,748,935,
20,Chatham,3-01C Old Courthouse,458,52,55,62,0,169,19,57,53,1,130,299,
21,Chatham,3-02C Temple Mickve Israel,1598,146,260,183,2,591,60,230,220,0,510,1101,
22,Chatham,3-03C Savannah High School,1185,22,34,27,0,83,187,198,125,5,515,598,
23,Chatham,3-04C First African Baptist Church1558,36,21,24,0,81,306,236,232,0,774,855,,
24,Chatham,3-05C Aldersgate Youth Center 2107,128,131,74,0,333,253,319,265,2,839,1172,,
25,Chatham,3-08C Jenkins High School,1210,94,103,67,0,264,117,227,170,0,514,778,
26,Chatham,3-09C Cokesbury Methodist,664,177,93,72,2,344,50,58,67,0,175,519,
27,Chatham,3-10C Bible Baptist Church,2640,115,90,74,0,279,375,495,424,2,1296,1575,
28,Chatham,3-11C Southside Baptist Church1481,58,71,54,1,184,236,255,192,2,685,869,,
29,Chatham,3-12C Thunderbolt Muni Complex1678,278,199,118,0,595,160,179,210,1,550,1145,,
30,Chatham,3-13C New Cov 7 Day Adv Ch,2303,174,259,173,0,606,194,335,214,1,744,1350,
31,Chatham,3-14C Oglethorpe Charter Academy2381,88,172,117,0,377,245,462,425,1,1133,1510,,
32,Chatham,3-15C Eli Whitney Complex,816,60,144,127,0,331,62,112,133,0,307,638,
33,Chatham,4-02C Frank Murray Comm Center2472,348,567,242,0,1157,89,202,220,0,511,1668,,
34,Chatham,4-04C Lighthouse Baptist Church2470,495,558,343,4,1400,83,152,183,0,418,1818,,
35,Chatham,4-05C St Francis Episcopal Church2244,507,500,295,1,1303,96,163,161,0,420,1723,,
36,Chatham,4-06C First Baptist of the Island2252,500,606,308,3,1417,70,125,163,0,358,1775,,
37,Chatham,4-07C Wilmington Island UMC,3370,571,795,476,4,1846,102,224,275,0,601,2447,
38,Chatham,4-08C Wilmington Island Pres Church2678,561,724,475,1,1761,79,150,191,1,421,2182,,
39,Chatham,4-10C Guard House Comm Ctr,1469,394,247,196,2,839,92,107,102,1,302,1141,
40,Chatham,4-11C Tybee Island School Cafe1640,537,196,213,1,947,128,85,94,0,307,1254,,
41,Chatham,4-12C St Peters Episcopal,2294,615,512,520,3,1650,54,90,162,0,306,1956,
42,Chatham,4-13C Skidaway Island Pres Church2469,533,560,652,2,1747,45,124,194,0,363,2110,,
43,Chatham,4-14C Skidaway Island Baptist 1744,377,364,450,3,1194,40,86,167,0,293,1487,,
44,Chatham,4-15C Skidaway Island State Park0,320,373,585,4,1282,30,90,168,0,288,1570,,
45,Chatham,5-01C Bartlett Middle School,1063,71,50,47,0,168,137,176,124,0,437,605,
46,Chatham,5-02C Senior Citizens Center,783,28,14,9,0,51,107,115,125,1,348,399,
47,Chatham,5-03C Butler Presbyterian Church1078,10,13,9,0,32,191,157,179,6,533,565,,
48,Chatham,5-05C Liberty City Comm Ctr,2574,23,28,25,1,77,419,553,573,2,1547,1624,
49,Chatham,5-06C Seed Church,2598,82,82,47,2,213,262,429,335,7,1033,1246,
50,Chatham,5-07C Station 1,1856,105,96,82,1,284,214,326,217,5,762,1046,
51,Chatham,5-08C Savannah Primitive BC,1848,96,136,94,0,326,191,317,275,3,786,1112,
52,Chatham,5-10C Tatumville Community Center3507,31,45,42,0,118,541,673,656,5,1875,1993,,
53,Chatham,5-11C Largo-Tibet Elementary,3019,88,152,210,2,452,316,589,358,7,1270,1722,
54,Chatham,6-01C White Bluff Presbyterian1919,160,158,127,3,448,177,321,202,3,703,1151,,
55,Chatham,6-02C Windsor Forest Baptist,2290,413,457,296,0,1166,133,237,230,1,601,1767,
56,Chatham,6-03C Crusader Comm Center,2736,281,372,214,1,868,228,432,393,1,1054,1922,
57,Chatham,6-05C Windsor Hall,1993,148,187,145,0,480,206,316,230,0,752,1232,
58,Chatham,6-06C The Light Church,1543,145,216,128,0,489,138,174,113,0,425,914,
59,Chatham,6-08C Christ Memorial Baptist Church2194,96,167,111,0,374,231,373,246,2,852,1226,,
60,Chatham,6-09C Trinity Lutheran Church 3319,326,478,338,1,1143,262,495,332,7,1096,2239,,
61,Chatham,6-10C Station 3,4184,402,738,385,2,1527,250,596,540,5,1391,2918,
62,Chatham,6-11C Bamboo Farms,5149,332,478,222,4,1036,437,960,625,6,2028,3064,
63,Chatham,7-01C Garden City Senior Ctr,1542,199,196,120,0,515,105,133,132,0,370,885,
64,Chatham,7-03C PB Edwards Gym,1290,311,138,86,0,535,95,54,73,0,222,757,
65,Chatham,7-04C Lake Shore Comm Ctr,3067,199,192,67,0,458,397,709,347,1,1454,1912,
66,Chatham,7-05C Woodlawn Baptist Church 1305,134,139,47,0,320,140,173,106,0,419,739,,
67,Chatham,7-06C Pooler City Hall,3555,255,617,255,1,1128,174,501,393,1,1069,2197,
68,Chatham,7-07C Rothwell Baptist Church 3932,279,960,439,3,1681,124,424,359,5,912,2593,,
69,Chatham,7-08C Bloomingdale Comm Ctr,2733,508,654,235,0,1397,87,126,119,1,333,1730,
70,Chatham,7-09C Savannah Holy C of G,2823,240,323,190,2,755,214,371,331,2,918,1673,
71,Chatham,7-10C Progressive Rec Center,4288,278,471,211,2,962,329,755,497,6,1587,2549,
72,Chatham,7-11C Seventh Day Adv Church,6469,480,770,307,7,1564,441,1190,755,6,2392,3956,
73,Chatham,7-12C Pooler Church,3334,182,577,267,4,1030,174,671,490,0,1335,2365,
74,Chatham,7-13C Southside Fire Trng Ctr 2513,240,749,468,1,1458,63,238,313,0,614,2072,,
75,Chatham,7-14C Coastal Cathedral,7572,414,828,558,1,1801,560,1488,1112,9,3169,4970,
76,Chatham,7-15C Rice Creek School,2564,269,216,85,3,573,259,432,255,2,948,1521,
77,Chatham,7-16C Pooler Recreation Center Gymnasium3701,232,887,462,6,1587,119,529,409,7,1064,2651,,
78,Chatham,8-01C Civic Center,850,21,43,26,0,90,61,88,78,3,230,320,
79,Chatham,8-02C Hellenic Center,1709,83,90,70,0,243,187,339,218,1,745,988,
80,Chatham,8-03C Silk Hope Baptist Church831,161,108,52,0,321,55,43,49,0,147,468,,
81,Chatham,8-05C W Broad St YMCA,1543,22,8,9,0,39,268,208,160,1,637,676,
82,Chatham,8-06C Tompkins Rec Center,1055,15,9,7,0,31,190,147,157,4,498,529,
83,Chatham,8-07C Woodville-Tompkins TI,630,12,7,7,0,26,121,100,82,1,304,330,
84,Chatham,8-08C Resur of Our Lord Church1704,13,11,17,0,41,315,253,267,4,839,880,,
85,Chatham,8-09C Moses Jackson Center,1362,14,9,7,1,31,259,192,200,7,658,689,
86,Chatham,8-10C Carver Heights Comm Ctr 1784,14,8,6,0,28,348,262,355,0,965,993,,
87,Chatham,8-11C Butler Elementary,1386,12,6,9,0,27,253,311,355,0,919,946,
88,Chatham,8-12C Beach High School,1310,46,59,28,1,134,156,207,140,1,504,638,
89,Chatham,8-13C Savannah Christian,1022,114,98,57,1,270,41,44,45,1,131,401,
90,Chatham,8-15C Garden City Rec Center,1622,23,30,23,0,76,208,285,233,3,729,805,
91,Chatham,8-16C Royal Cinemas and IMAX,3087,211,594,291,1,1097,142,487,413,2,1044,2141,
