index,County,Precinct,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total,
0,DeKalb,Allgood Elem,2858,46,71,70,1,188,227,872,589,4,1692,1880,
1,DeKalb,Avondale,2906,212,219,151,0,582,229,919,751,1,1900,2482,
2,DeKalb,Austin Drive,2536,21,25,30,2,78,189,626,447,13,1275,1353,
3,DeKalb,Avondale High,3151,36,97,61,0,194,59,605,534,0,1198,1392,
4,DeKalb,Brockett Elem,2752,81,275,203,1,560,133,721,498,6,1358,1918,
5,DeKalb,Brockett,2681,145,247,151,1,544,168,679,480,7,1334,1878,
6,DeKalb,Browns Mill Elem,3829,14,40,37,0,91,310,1449,878,5,2642,2733,
7,DeKalb,Bethune Middle,4838,29,63,33,2,127,317,1335,976,12,2640,2767,
8,DeKalb,Columbia Drive,2526,21,19,14,0,54,211,577,474,7,1269,1323,
9,DeKalb,Canby Lane Elem,2004,11,22,26,1,60,218,531,433,8,1190,1250,
10,DeKalb,Candler-Murphey Candler Elem,3712,30,73,43,1,147,277,1396,638,6,2317,2464,
11,DeKalb,Chapel Hill Elem,3349,20,31,24,1,76,254,1206,695,4,2159,2235,
12,DeKalb,Clairemont West,3264,79,184,146,0,409,107,1145,1070,3,2325,2734,
13,DeKalb,Clairmont Road,3223,92,195,171,1,459,150,809,899,5,1863,2322,
14,DeKalb,Clarkston,3878,47,81,43,0,171,360,916,415,13,1704,1875,
15,DeKalb,Crossroads,2898,19,42,24,0,85,232,858,627,6,1723,1808,
16,DeKalb,Covington Hwy,995,6,5,1,0,12,49,98,63,5,215,227,
17,DeKalb,Covington,2376,42,72,42,0,156,114,670,357,3,1144,1300,
18,DeKalb,Coralwood,3153,110,372,239,2,723,105,873,924,2,1904,2627,
19,DeKalb,Clarkston Community Center,2495,56,90,51,1,198,193,583,380,7,1163,1361,
20,DeKalb,Dunaire Elem,2268,34,65,59,1,159,175,611,411,6,1203,1362,
21,DeKalb,Fairington Elem,5455,25,44,27,0,96,427,1566,648,15,2656,2752,
22,DeKalb,Flat Shoals Parkway,3449,17,53,14,0,84,196,1297,761,4,2258,2342,
23,DeKalb,Flat Rock Elem,3142,18,46,21,1,86,247,1314,533,6,2100,2186,
24,DeKalb,Flakes Mill Fire Station,2103,8,32,19,0,59,119,735,424,5,1283,1342,
25,DeKalb,Freedom Middle,3227,54,62,58,0,174,261,837,541,10,1649,1823,
26,DeKalb,Glennwood,2715,15,64,49,0,128,31,469,347,1,848,976,
27,DeKalb,Glenhaven,1880,34,34,33,0,101,215,474,312,4,1005,1106,
28,DeKalb,Glenwood Road,2293,23,38,39,1,101,193,527,386,3,1109,1210,
29,DeKalb,Hambrick Elem,3776,79,136,96,3,314,268,1032,606,7,1913,2227,
30,DeKalb,Hugh Howell,1773,111,222,178,0,511,121,474,302,0,897,1408,
31,DeKalb,Harris-Narvie J Harris Elem,4031,13,32,18,0,63,174,1596,788,6,2564,2627,
32,DeKalb,Idlewood Elem,2472,93,132,79,1,305,176,693,392,6,1267,1572,
33,DeKalb,Indian Creek,2318,53,70,58,3,184,142,480,353,11,986,1170,
34,DeKalb,Jolly Elem,3679,85,161,118,3,367,231,840,605,12,1688,2055,
35,DeKalb,Kelley Chapel Road,1337,13,10,8,0,31,118,456,320,1,895,926,
36,DeKalb,Lithonia,1730,24,30,19,1,74,227,380,214,2,823,897,
37,DeKalb,Lithonia High,3610,16,26,13,0,55,337,1065,538,11,1951,2006,
38,DeKalb,Miller-Eldridge L Miller Elem 3455,28,56,45,0,129,295,932,688,7,1922,2051,,
39,DeKalb,Marbut Elem,4234,19,34,14,1,68,315,1398,626,18,2357,2425,
40,DeKalb,McLendon,3607,70,231,123,0,424,162,961,875,8,2006,2430,
41,DeKalb,McWilliams,2517,17,27,8,0,52,143,963,560,3,1669,1721,
42,DeKalb,Medlock,2208,77,142,108,1,328,120,653,661,1,1435,1763,
43,DeKalb,Miller Grove,4747,17,41,26,1,85,337,1364,686,10,2397,2482,
44,DeKalb,Montreal,2586,75,168,110,0,353,171,754,503,3,1431,1784,
45,DeKalb,Memorial South,3138,38,58,31,2,129,229,679,372,18,1298,1427,
46,DeKalb,Midway,3139,22,55,40,0,117,176,743,620,5,1544,1661,
47,DeKalb,Mathis-Bob Mathis Elem,2789,15,34,37,0,86,216,931,699,3,1849,1935,
48,DeKalb,Miller Grove Road,2151,14,38,10,0,62,171,728,502,5,1406,1468,
49,DeKalb,Miller Grove High,3470,14,31,15,0,60,277,960,445,7,1689,1749,
50,DeKalb,North Decatur,2166,42,82,70,1,195,105,600,505,11,1221,1416,
51,DeKalb,North Hairston,2329,40,64,46,2,152,196,611,397,7,1211,1363,
52,DeKalb,Northlake,1509,107,129,114,0,350,81,402,381,1,865,1215,
53,DeKalb,Oak Grove Elem,2253,135,280,169,1,585,104,580,569,0,1253,1838,
54,DeKalb,Peachcrest,2458,31,57,31,0,119,162,601,439,3,1205,1324,
55,DeKalb,Princeton Elem,2376,14,35,12,0,61,163,843,453,1,1460,1521,
56,DeKalb,Pine Lake,632,35,6,7,0,48,219,135,72,0,426,474,
57,DeKalb,Panola,1586,14,31,19,0,64,128,462,326,2,918,982,
58,DeKalb,Panola Way Elem,2252,13,22,10,0,45,198,575,318,21,1112,1157,
59,DeKalb,Panola Road,2884,13,26,8,0,47,181,997,570,8,1756,1803,
60,DeKalb,Rainbow Elem,3768,18,43,35,1,97,249,1192,849,7,2297,2394,
61,DeKalb,Redan Elem,3020,19,33,14,1,67,196,1134,595,6,1931,1998,
62,DeKalb,Rehoboth,1813,108,163,157,1,429,59,422,516,2,999,1428,
63,DeKalb,Rockbridge Elem,3595,35,67,38,6,146,299,911,511,14,1735,1881,
64,DeKalb,Rock Chapel Elem,2910,8,40,20,1,69,213,1099,511,5,1828,1897,
65,DeKalb,Rowland Elem,3765,31,56,37,0,124,275,899,580,7,1761,1885,
66,DeKalb,Redan-Trotti Library,3990,14,37,22,0,73,260,1251,747,20,2278,2351,
67,DeKalb,Rockbridge Road,3965,30,59,35,1,125,281,1449,962,9,2701,2826,
68,DeKalb,Rowland Road,2080,31,36,43,0,110,168,577,409,9,1163,1273,
69,DeKalb,Redan Road,2932,18,29,24,1,72,219,882,508,12,1621,1693,
70,DeKalb,Rock Chapel Road,4178,30,107,78,2,217,239,1568,780,16,2603,2820,
71,DeKalb,Redan Middle,2496,16,50,25,1,92,147,842,520,4,1513,1605,
72,DeKalb,Sagamore Hills Elem,2925,166,330,276,0,772,120,778,787,0,1685,2457,
73,DeKalb,Scott,2805,68,161,127,2,358,89,754,875,0,1718,2076,
74,DeKalb,Shaw-Robert Shaw Elem,2892,45,78,50,0,173,227,825,559,1,1612,1785,
75,DeKalb,Stone Mountain Elem,2338,36,101,214,0,351,142,493,549,3,1187,1538,
76,DeKalb,Snapfinger Elem,1894,17,20,18,1,56,159,608,504,0,1271,1327,
77,DeKalb,Smoke Rise,2108,135,312,213,1,661,84,536,442,0,1062,1723,
78,DeKalb,Stone Mtn Middle,3247,32,37,53,0,122,281,602,303,15,1201,1323,
79,DeKalb,Stone Mill Elem,3714,35,51,36,0,122,318,645,437,13,1413,1535,
80,DeKalb,Shadow Rock Elem,4347,29,51,49,0,129,276,1547,1022,7,2852,2981,
81,DeKalb,Stoneview Elem,1988,10,30,17,0,57,162,480,247,10,899,956,
82,DeKalb,Salem Middle,3519,19,45,21,0,85,213,1366,831,6,2416,2501,
83,DeKalb,Shamrock,1600,77,134,91,0,302,116,414,471,5,1006,1308,
84,DeKalb,South Deshon,3470,21,45,25,1,92,246,1249,627,10,2132,2224,
85,DeKalb,Stone Mtn Champion,3098,63,63,51,0,177,273,742,451,8,1474,1651,
86,DeKalb,Stone Mtn,1711,45,91,32,1,169,157,330,302,2,791,960,
87,DeKalb,Snapfinger Road N,2705,12,37,22,0,71,232,663,474,5,1374,1445,
88,DeKalb,Snapfinger Road S,1960,25,21,14,0,60,144,713,431,2,1290,1350,
89,DeKalb,Stephenson Middle,3822,51,72,33,0,156,272,1361,772,1,2406,2562,
90,DeKalb,South Hairston,3814,33,42,27,2,104,342,1068,630,12,2052,2156,
91,DeKalb,Stephenson High,3555,22,80,32,1,135,246,1163,801,5,2215,2350,
92,DeKalb,Stonecrest Library,3720,22,48,18,2,90,202,1508,549,10,2269,2359,
93,DeKalb,Snapfinger Road,4872,11,67,18,0,96,212,2186,1087,7,3492,3588,
94,DeKalb,Valley Brook,1037,48,55,45,2,150,107,279,244,4,634,784,
95,DeKalb,Wadsworth,3159,9,26,15,0,50,202,609,445,4,1260,1310,
96,DeKalb,Wesley Chapel Library,2922,9,36,20,0,65,197,1093,707,6,2003,2068,
97,DeKalb,Woodrow Road,3493,15,50,38,0,103,241,1070,474,12,1797,1900,
98,DeKalb,Winnona Park,2020,0,2,4,0,6,2,14,5,0,21,27,
99,DeKalb,Woodridge Elem,3851,23,59,41,0,123,308,1013,755,11,2087,2210,
100,DeKalb,White Oak,2951,19,15,13,1,48,300,725,427,4,1456,1504,
101,DeKalb,Wynbrooke Elem,3496,30,69,33,0,132,270,1283,811,12,2376,2508,
102,DeKalb,Young Road,1951,14,26,10,0,50,96,755,435,6,1292,1342,
